SalePrice,GrLivArea,TotalBsmtSF,FirstFlrSF,SecondFlrSF,GarageCars,GarageArea,YearBuilt,FullBath,TotRmsAbvGrd,CentralAir
215000,1656,1080,1656,0,2,528,1960,1,7,1
105000,896,882,896,0,1,730,1961,1,5,1
172000,1329,1329,1329,0,1,312,1958,1,6,1
244000,2110,2110,2110,0,2,522,1968,2,8,1
189900,1629,928,928,701,2,482,1997,2,6,1
195500,1604,926,926,678,2,470,1998,2,7,1
213500,1338,1338,1338,0,2,582,2001,2,6,1
191500,1280,1280,1280,0,2,506,1992,2,5,1
236500,1616,1595,1616,0,2,608,1995,2,5,1
189000,1804,994,1028,776,2,442,1999,2,7,1
175900,1655,763,763,892,2,440,1993,2,7,1
185000,1187,1168,1187,0,2,420,1992,2,6,1
180400,1465,789,789,676,2,393,1998,2,7,1
171500,1341,1300,1341,0,2,506,1990,1,5,1
212000,1502,1488,1502,0,2,528,1985,1,4,1
538000,3279,1650,1690,1589,3,841,2003,3,12,1
164000,1752,559,1080,672,2,492,1988,2,8,1
394432,1856,1856,1856,0,3,834,2010,1,8,1
141000,864,864,864,0,2,400,1951,1,4,1
210000,2073,1542,2073,0,2,500,1978,2,7,1
190000,1844,1844,1844,0,2,546,1977,2,7,1
170000,1173,1053,1173,0,2,528,1974,2,6,1
216000,1674,814,814,860,2,663,2000,2,7,1
149000,1004,1004,1004,0,2,480,1970,1,5,1
149900,1078,1078,1078,0,2,500,1971,1,6,1
142000,1056,1056,1056,0,1,304,1968,1,6,1
126000,882,882,882,0,2,525,1970,1,4,1
115000,864,864,864,0,0,0,1971,1,5,1
184000,1337,1405,1337,0,2,511,1999,2,5,1
96000,987,483,483,504,1,264,1971,1,5,1
105500,1092,525,525,567,1,320,1971,1,6,1
88000,1092,525,525,567,1,264,1971,1,6,1
127500,1069,1069,1069,0,2,440,1977,2,4,1
149900,1456,855,855,601,2,440,1975,2,6,1
120000,836,836,836,0,1,308,1975,1,4,1
146000,1456,855,855,601,2,440,1978,2,7,1
376162,2334,1590,1627,707,3,751,2009,2,10,1
306000,1704,1704,1704,0,3,772,2007,2,7,1
