SalePrice,GrLivArea,TotalBsmtSF,FirstFlrSF,SecondFlrSF,GarageCars,GarageArea,YearBuilt,FullBath,TotRmsAbvGrd,CentralAir,
121000,952,952,952,0,1,192,1916,1,4,0,O
187500,1604,926,926,678,2,470,1997,2,7,1,O
229000,2183,1204,1377,806,3,786,1988,2,9,1,O
213000,1664,1529,1664,0,2,663,1978,2,7,1,O
145000,1138,588,1138,0,1,264,1958,1,6,1,O
166000,1385,910,910,475,2,720,1952,2,6,1,O
299800,2715,1142,1175,1540,2,831,1976,3,11,1,O
167900,1116,1116,1116,0,2,528,1974,2,6,1,O
128000,1647,806,841,806,1,216,1915,1,6,0,O
137500,1180,700,1180,0,1,252,1922,1,5,1,O
190000,1419,1487,1419,0,2,543,2002,2,4,1,O
163500,1200,1174,1200,0,2,440,1966,2,6,1,O
164000,1216,1216,1216,0,2,402,1998,2,5,1,O
125000,752,744,752,0,1,264,1984,1,4,1,O
168500,1474,384,804,670,2,400,1995,2,7,1,O
192500,1663,835,835,828,2,478,2003,2,8,1,O
165000,1977,816,1127,850,2,540,1964,1,9,1,O
113000,1173,592,933,240,1,240,1901,2,7,0,O
321000,2494,1290,1305,1189,3,803,1994,2,9,1,O
318000,1714,1714,1714,0,2,517,2005,2,7,1,O
173000,1632,784,784,848,2,898,1969,1,7,1,O
178000,1571,799,799,772,2,380,1993,2,7,1,O
143000,1144,1144,1144,0,1,796,1959,1,6,1,O
88000,858,858,858,0,0,0,1971,1,5,1,O
199500,1609,637,959,650,3,579,1932,1,8,1,O
390000,2748,1850,1850,898,3,850,2006,2,9,1,O
120500,778,740,778,0,1,924,1940,1,4,1,O
99000,930,911,930,0,1,286,1953,1,5,1,O
105000,1214,672,694,520,3,936,1915,1,6,1,O
179781,1214,1214,1214,0,2,520,2009,2,6,1,O
124500,1041,1041,1041,0,1,270,1959,1,6,1,O
115000,1028,1008,1028,0,2,360,1927,1,5,1,O
105500,832,832,832,0,2,528,1954,1,4,1,O
178000,1491,1491,1491,0,2,571,1996,2,7,1,O
106250,1294,0,694,600,0,0,1900,2,7,0,O
215000,1392,1441,1392,0,3,650,2002,2,6,1,O
214000,2060,992,1022,1038,2,390,1999,2,8,1,O
120000,1308,880,880,428,2,400,1915,2,6,1,O
115000,995,960,995,0,1,264,1925,1,5,1,O
130000,1964,940,1024,940,0,0,1911,1,7,0,O
143450,1152,912,1152,0,2,412,1968,1,7,1,O
79500,935,742,779,0,1,308,1930,1,4,1,X
118000,698,698,698,0,0,0,1947,1,4,1,O
68500,520,520,520,0,1,240,1927,1,4,0,O
124000,1610,972,1052,558,1,480,1938,2,8,1,O
324000,1719,1719,1719,0,2,473,1993,1,6,1,O
130500,816,816,816,0,1,264,1982,1,5,1,O
162900,1573,1078,1128,445,2,360,1930,2,8,1,O
278000,1659,1501,1659,0,2,499,2000,2,5,1,O
181000,1486,1461,1486,0,2,566,2006,2,7,1,O
113000,793,793,793,0,1,240,1945,1,4,1,O
348000,2392,1396,1407,985,3,870,1997,2,7,1,O
140750,1470,738,868,602,2,624,1922,1,6,1,O
200500,1682,804,804,878,2,523,1998,2,7,1,O
83000,987,483,483,504,1,264,1973,1,5,1,O
402000,2448,1629,1686,762,3,711,1994,2,8,1,O
144000,1167,915,1167,0,2,495,1920,1,6,1,O
136900,1855,994,1216,639,1,325,1954,2,7,1,O
256000,1660,1660,1660,0,3,660,2007,2,7,1,O
155000,1424,1100,1424,0,3,828,1969,1,7,1,O
177500,1494,771,753,741,1,213,1942,1,7,1,O
154000,1626,988,988,638,1,332,1954,1,6,1,O
225000,1733,847,847,886,2,433,2003,2,7,1,O
93500,1040,0,1040,0,2,400,1950,2,6,0,O
220000,1296,1267,1296,0,2,471,2001,2,6,1,O
208900,1352,1352,1352,0,2,466,2006,2,5,1,O
180000,1339,1309,1339,0,2,484,1990,2,6,1,O
103600,1369,672,697,672,1,300,1925,2,6,0,O
187500,1498,691,691,807,2,409,1995,2,6,1,O
50000,1484,771,866,504,1,264,1910,2,6,1,X
147000,1374,1130,1374,0,1,286,1964,1,7,1,O
151000,1212,506,1212,0,2,492,1977,1,6,1,O
134500,999,925,999,0,1,300,1962,1,6,1,O
178400,999,944,999,0,2,588,1961,1,6,1,O
116000,1250,686,686,564,1,280,1918,1,7,1,O
140000,1796,780,983,813,2,483,1963,1,8,1,O
159000,1394,1394,1394,0,2,514,1963,1,6,1,O
300000,2503,1223,1271,1232,2,564,1990,2,7,1,O
165000,1502,602,900,602,1,180,1923,1,7,1,O
110000,1203,709,979,224,1,352,1950,1,5,1,O
115000,864,864,864,0,2,572,1955,1,5,1,O
271000,2127,1223,1223,904,2,525,1994,2,5,1,O
219500,1740,800,960,780,1,240,1940,1,6,1,O
117600,894,894,894,0,1,312,1960,1,5,1,O
146000,1548,804,804,744,2,440,1976,2,7,1,O
398800,2690,1365,1365,1325,3,864,2009,2,8,1,O
106500,951,951,951,0,1,327,1936,1,6,0,O
171000,1118,1096,1118,0,1,358,1977,1,6,1,O
132500,1148,1148,1148,0,1,672,1959,1,6,1,O
182000,1179,1166,1179,0,2,480,1988,2,5,1,O
160500,1040,960,1040,0,2,616,1978,1,6,1,O
132000,970,912,970,0,0,0,1992,1,6,1,O
153900,1199,1199,1199,0,2,530,1993,2,5,1,O
173000,1640,798,798,842,2,520,2004,2,6,1,O
181000,1309,1040,1309,0,2,484,1974,1,5,1,O
87000,1248,912,912,336,1,160,1930,1,6,1,O
127500,1069,1069,1069,0,2,440,1977,2,4,1,O
100000,1664,0,1664,0,0,0,1965,2,8,0,O
285000,1668,1626,1668,0,3,702,2002,2,7,1,O
159000,1114,1114,1114,0,2,576,2004,1,6,1,O
228950,1786,1499,1619,167,2,529,1965,2,7,1,O
80000,861,861,861,0,2,288,1920,1,5,1,O
130000,2034,0,2034,0,4,1041,1953,1,9,1,O
145000,1314,1314,1314,0,1,294,1957,1,5,1,O
191000,1504,1346,1504,0,2,437,2005,2,7,1,O
97500,874,864,874,0,2,576,1971,1,5,1,O
156500,1338,520,1338,0,2,576,1983,1,5,1,O
58500,816,624,816,0,0,0,1910,1,5,1,O
145000,1097,1097,1097,0,2,672,1994,1,6,1,O
132000,1364,1179,1364,0,1,331,1957,1,6,1,O
130000,1204,1191,1204,0,2,461,1987,2,5,1,O
84900,640,0,640,0,1,240,1945,1,5,0,O
156500,1478,1478,1478,0,2,442,1957,1,6,1,O
140000,1355,728,760,595,2,528,1941,2,5,1,O
466500,2633,2633,2633,0,3,804,2001,2,8,1,O
177500,1382,384,751,631,2,396,1998,2,7,1,O
