"Name","Year","Pieces","Theme","Price","residual","stad.res","stu.res","haty"
"Spider-Man versus Venom and Iron Venom",2021,63,"Marvel Super Heroes",14.99,5.94235335891767,0.433461037165146,0.432596588856103,9.04764664108233
"Wizarding World Minifigure Accessory Set",2021,33,"Harry Potter",14.99,5.31283089609527,0.395739282101556,0.394919759167818,9.67716910390473
"Cat Grooming Car",2021,60,"Friends",9.99,-1.82078613387197,-0.132210226488841,-0.131891434342652,11.810786133872
"Heartlake City Bakery",2021,99,"Friends",19.99,4.90855086702595,0.356053151740462,0.355289813240614,15.081449132974
"Horse Training and Trailer",2021,148,"Friends",29.99,10.7992563296927,0.782475192986371,0.781728992988023,19.1907436703073
"Vet Clinic Rescue Buggy",2021,100,"Friends",9.99,-5.17531228679717,-0.375394051032371,-0.374602244914876,15.1653122867972
"Olivia's Electric Car",2021,183,"Friends",14.99,-7.13595405411686,-0.51669289278716,-0.515762528440759,22.1259540541169
"Heartlake City Organic Cafe",2021,314,"Friends",29.99,-3.12202720494669,-0.225670728201666,-0.225145038922737,33.1120272049467
"Vet Clinic Ambulance",2021,304,"Friends",29.99,-2.28339566671539,-0.165065388069208,-0.164671316277527,32.2733956667154
"Heartlake City Vet Clinic",2021,258,"Friends",39.99,11.5743094091485,0.837105351089176,0.83648901851161,28.4156905908515
"Heartlake City Park",2021,432,"Friends",39.99,-3.01787935607588,-0.218054418882798,-0.217544669026137,43.0078793560759
"Heartlake City Movie Theatre",2021,451,"Friends",49.99,5.38872072128468,0.389371314412205,0.388560213708687,44.6012792787153
"Andrea's Family House",2021,802,"Friends",69.99,-4.04724627063353,-0.294106595643778,-0.293447079890358,74.0372462706335
"Heartlake City Shopping Mall",2021,1032,"Friends",99.99,6.66422835004685,0.488669485881075,0.487755856826767,93.3257716499532
"Olivia's Flamingo Cube",2021,41,"Friends",9.99,-0.227386211232526,-0.0165198377275321,-0.016479309210103,10.2173862112325
"Emma's Dalmatian Cube",2021,41,"Friends",9.99,-0.227386211232526,-0.0165198377275321,-0.016479309210103,10.2173862112325
