 Variable , M1_Estimate , M1_Std_Error , M1_t_value , M1_p_value , M2_Estimate , M2_Std_Error , M2_t_value , M2_p_value , 증감량 
 절편(Intercept) ,"-11,635 ",687 ,-17 ,0 ,-223 ,643 ,0 ,1 ,"11,412 "
 연령 ,256 ,8 ,31 ,0 ,,,,,
 성별(남성) ,-57 ,232 ,0 ,1 ,-459 ,171 ,-3 ,0 ,-402 
 체질량지수(BMI) ,330 ,20 ,17 ,0 ,115 ,24 ,5 ,0 ,-215 
 부양가족수 ,506 ,95 ,5 ,0 ,661 ,70 ,9 ,0 ,155 
 흡연여부(흡연) ,"23,976 ",288 ,83 ,0 ,"13,356 ",310 ,43 ,0 ,"-10,620 "
 지역(북서) ,-332 ,334 ,-1 ,0 ,-228 ,246 ,-1 ,0 ,104 
 지역(남동) ,"-1,078 ",334 ,-3 ,0 ,-925 ,246 ,-4 ,0 ,153 
 지역(남서) ,"-1,055 ",333 ,-3 ,0 ,"-1,315 ",245 ,-5 ,0 ,-260 
 연령 2차항 ,,,,,3 ,0 ,44 ,0 ,
 BMI 30 이상 ,,,,,-975 ,296 ,-3 ,0 ,
 비만*흡연 상호작용 ,,,,,"19,858 ",424 ,47 ,0 ,
