Variable,M3_Estimate,M3_Std_Error,M3_t_value,M3_p_value,M4_Estimate,M4_Std_Error,M4_t_value,M4_p_value,베타증감,검정통계량 증감
절편(Intercept),-1319,180,-7,0,-621,90,-7,0,698,0
연령 2차항,3,0,160,0,3,0,330,0,0,170
성별(남성),-443,47,-9,0,-427,23,-19,0,16,10
체질량지수(BMI),100,7,15,0,64,3,19,0,-36,4
BMI 30 이상,-997,82,-12,0,-610,41,-15,0,387,3
부양가족수,602,19,31,0,594,9,63,0,-8,32
흡연여부(흡연),13829,84,164,0,14096,42,336,0,267,172
지역(북서),-159,68,-2,0,-92,33,-3,0,67,1
지역(남동),-499,68,-7,0,-524,34,-16,0,-25,9
지역(남서),-562,67,-8,0,-522,33,-16,0,40,8
비만*흡연 상호작용,20030,115,174,0,19383,58,335,0,-647,161
